Sample,CD8_PD1,Total_CD8,Tumor_PDL1,Total_Tumor
HTAPP_NCS006bLT_FT,7.905279763,1051.402208,532.815856,3146.301346
HTAPP_NCS006bLT_FT,101.7540353,2265.20137,723.2363739,3489.380687
HTAPP_NCS006bLT_FT,106.8210418,2028.028896,485.4073811,4150.311653
HTAPP_NCS006bLT_FT,5.336014027,581.625529,3422.163663,7497.099708
HTAPP_NCS006bLT_FT,56.66777392,1731.515314,617.0490937,5405.47599
HTAPP_NCS006bLT_FT,15.66958401,1968.099752,1925.791875,3494.317234
HTAPP_NSC001bLT_FT,1.589375224,352.8412997,7.946876119,2717.831633
HTAPP_NSC001bLT_FT,0,87.22811583,11.1017602,3043.468259
HTAPP_NSC001bLT_FT,0,128.3666291,0,3927.705762
HTAPP_NSC001bLT_FT,3.130893393,220.7279842,9.39268018,3202.903941
HTAPP_NSC001bLT_FT,3.182456204,100.2473704,6.364912409,3500.701825
HTAPP_NCS011bLT_FT_,28.31166327,405.8005069,62.91480726,1104.154867
HTAPP_NCS011bLT_FT_,13.13864424,321.896784,49.26991592,670.0708565
HTAPP_NCS011bLT_FT_,12.52112114,198.5492067,25.04224228,1901.421682
HTAPP_NCS011bLT_FT_,4.783650518,344.4228373,66.97110725,773.3568338
HTAPP_NCS011bLT_FT_,0,220.7279842,1.565446697,331.8746997
HTAPP_NCS011bLT_FT_,3.434966567,328.0393072,8.587416418,1033.924937
HTAPP_NCS004bLT_FT,4.754945522,488.174407,25.35970945,2997.200661
HTAPP_NCS004bLT_FT,0,472.7649024,6.261786787,3018.181231
HTAPP_NCS004bLT_FT,0,386.6653341,23.48170045,2550.112669
HTAPP_NCS004bLT_FT,0,237.9756091,37.82393787,3795.001766
HTAPP_NCS004bLT_FT,0,169.0682432,4.69634009,3519.124174
HTAPP_NCS004bLT_FT,0,435.9925948,14.16582438,3196.754368